Provinsi,Kabupaten/Kota,Kecamatan,Kelurahan/Desa
ACEH,KABUPATEN SIMEULUE,TEUPAH SELATAN,LATIUNG
ACEH,KABUPATEN SIMEULUE,TEUPAH SELATAN,LABUHAN BAJAU
DKI JAKARTA,KOTA JAKARTA SELATAN,JAGAKARSA,CIPEDAK
DKI JAKARTA,KOTA JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH
DKI JAKARTA,KOTA JAKARTA SELATAN,JAGAKARSA,CIGANJUR
DKI JAKARTA,KOTA JAKARTA SELATAN,JAGAKARSA,JAGAKARSA
DKI JAKARTA,KOTA JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG
DKI JAKARTA,KOTA JAKARTA SELATAN,JAGAKARSA,TANJUNG BARAT
MALUKU UTARA,KABUPATEN HALMAHERA TIMUR,WASILE TIMUR,DAKA INO
MALUKU UTARA,KABUPATEN HALMAHERA TIMUR,WASILE TIMUR,AKE DAGA
MALUKU UTARA,KABUPATEN HALMAHERA TIMUR,WASILE TIMUR,TOBOINO
MALUKU UTARA,KABUPATEN HALMAHERA TIMUR,WASILE TIMUR,DODAGA
MALUKU UTARA,KABUPATEN HALMAHERA TIMUR,WASILE TIMUR,TUTULING JAYA
MALUKU UTARA,KABUPATEN HALMAHERA TIMUR,WASILE TIMUR,WOKA JAYA
